epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.6995,0.8015,2.58477,1.13402,0.92175,0.46199,0.91608,0.74042,0.7074,2.2861,0.86565,0.00034,0.00034,0.00034
2,9.94586,0.58236,1.26671,0.93364,0.84532,0.53583,0.79247,0.65905,0.67951,2.20402,0.85429,0.00068614,0.00068614,0.00068614
3,13.147,0.62005,1.18247,0.942,0.88086,0.29001,0.86147,0.67256,0.75594,2.30587,0.89449,0.00101802,0.00101802,0.00101802
4,16.3177,0.61004,1.13145,0.91763,0.78222,0.76471,0.78517,0.56151,0.97296,2.0099,1.12786,0.00133565,0.00133565,0.00133565
5,19.3762,0.59155,1.06603,0.93796,0.82458,0.78344,0.86702,0.7365,0.65609,1.6264,0.93009,0.00163902,0.00163902,0.00163902
6,22.5312,0.59603,0.98886,0.92331,0.73268,0.43137,0.61444,0.49948,0.84385,1.88021,0.98875,0.001802,0.001802,0.001802
7,25.7643,0.59489,0.96511,0.92797,0.89075,0.48039,0.62096,0.51197,0.93615,1.73806,1.05549,0.0017624,0.0017624,0.0017624
8,28.92,0.54243,0.91517,0.92063,0.78699,0.57843,0.69973,0.59178,0.77949,1.29401,0.93955,0.0017228,0.0017228,0.0017228
9,32.0485,0.51461,0.80426,0.89283,0.91524,0.8469,0.91784,0.82183,0.43953,0.81641,0.79743,0.0016832,0.0016832,0.0016832
10,35.1529,0.52793,0.8222,0.90823,0.85482,0.94118,0.94409,0.86033,0.51666,0.71299,0.8206,0.0016436,0.0016436,0.0016436
11,38.2647,0.50355,0.76632,0.88402,0.96907,0.92152,0.97591,0.86693,0.47858,0.54326,0.78014,0.001604,0.001604,0.001604
12,41.3899,0.54679,0.76043,0.91654,0.89209,0.97264,0.97516,0.87841,0.45787,0.56085,0.7733,0.0015644,0.0015644,0.0015644
